# Optical n & k TableODB values according to Palik
# Column Entries: wavelength [um], refractive index [1], extinction coefficient [1]
6.0100000E-01,5.8598794E+00,1.3385752E+00
6.0200000E-01,5.8704349E+00,1.3107026E+00
6.0300000E-01,5.8809905E+00,1.2828301E+00
6.0400000E-01,5.8915460E+00,1.2549575E+00
6.0500000E-01,5.8871063E+00,1.2270849E+00
6.0600000E-01,5.8223445E+00,1.1992123E+00
6.0700000E-01,5.7575827E+00,1.1713397E+00
6.0800000E-01,5.7056861E+00,1.1458157E+00
6.0900000E-01,5.6958139E+00,1.1279634E+00
6.1000000E-01,5.6859417E+00,1.1101112E+00
6.1100000E-01,5.6760694E+00,1.0922589E+00
6.1200000E-01,5.6661972E+00,1.0744066E+00
6.1300000E-01,5.6563250E+00,1.0565543E+00
6.1400000E-01,5.6464528E+00,1.0387021E+00
6.1500000E-01,5.6365805E+00,1.0208498E+00
6.1600000E-01,5.6267083E+00,1.0029975E+00
6.1700000E-01,5.6168361E+00,9.8514523E-01
6.1800000E-01,5.6069638E+00,9.6729295E-01
6.1900000E-01,5.5970916E+00,9.4944067E-01
6.2000000E-01,5.5875622E+00,9.3164197E-01
6.2100000E-01,5.5820261E+00,9.1446720E-01
6.2200000E-01,5.5764899E+00,8.9729243E-01
6.2300000E-01,5.5709537E+00,8.8011765E-01
6.2400000E-01,5.5654175E+00,8.6294288E-01
6.2500000E-01,5.5598813E+00,8.4576811E-01
6.2600000E-01,5.5543451E+00,8.2859334E-01
6.2700000E-01,5.5488089E+00,8.1141857E-01
6.2800000E-01,5.5432727E+00,7.9424380E-01
6.2900000E-01,5.5377365E+00,7.7706903E-01
6.3000000E-01,5.5322003E+00,7.5989426E-01
6.3100000E-01,5.5266642E+00,7.4271949E-01
6.3200000E-01,5.5211280E+00,7.2554472E-01
6.3300000E-01,5.5155918E+00,7.0836994E-01
6.3400000E-01,5.5100556E+00,6.9119517E-01
6.3500000E-01,5.5045194E+00,6.7402040E-01
6.3600000E-01,5.4986828E+00,6.5868279E-01
6.3700000E-01,5.4915109E+00,6.5151091E-01
6.3800000E-01,5.4843390E+00,6.4433903E-01
6.3900000E-01,5.4771671E+00,6.3716714E-01
6.4000000E-01,5.4699953E+00,6.2999526E-01
6.4100000E-01,5.4628234E+00,6.2282338E-01
6.4200000E-01,5.4556515E+00,6.1565150E-01
6.4300000E-01,5.4484796E+00,6.0847961E-01
6.4400000E-01,5.4413077E+00,6.0130773E-01
6.4500000E-01,5.4341358E+00,5.9413585E-01
6.4600000E-01,5.4269640E+00,5.8696397E-01
6.4700000E-01,5.4197921E+00,5.7979208E-01
6.4800000E-01,5.4126202E+00,5.7262020E-01
6.4900000E-01,5.4054483E+00,5.6544832E-01
6.5000000E-01,5.3982764E+00,5.5827644E-01
6.5100000E-01,5.3911046E+00,5.5110456E-01
6.5200000E-01,5.3839327E+00,5.4393267E-01
6.5300000E-01,5.3756464E+00,5.3993632E-01
6.5400000E-01,5.3660073E+00,5.3979534E-01
6.5500000E-01,5.3563682E+00,5.3965435E-01
6.5600000E-01,5.3467290E+00,5.3951337E-01
6.5700000E-01,5.3370899E+00,5.3937238E-01
6.5800000E-01,5.3274508E+00,5.3923139E-01
6.5900000E-01,5.3178117E+00,5.3909041E-01
6.6000000E-01,5.3081725E+00,5.3894942E-01
6.6100000E-01,5.2985334E+00,5.3880844E-01
6.6200000E-01,5.2888943E+00,5.3866745E-01
6.6300000E-01,5.2792551E+00,5.3852647E-01
6.6400000E-01,5.2696160E+00,5.3838548E-01
6.6500000E-01,5.2599769E+00,5.3824449E-01
6.6600000E-01,5.2503377E+00,5.3810351E-01
6.6700000E-01,5.2406986E+00,5.3796252E-01
6.6800000E-01,5.2310595E+00,5.3782154E-01
6.6900000E-01,5.2214203E+00,5.3768055E-01
6.7000000E-01,5.2117812E+00,5.3753957E-01
6.7100000E-01,5.1970186E+00,5.3739858E-01
6.7200000E-01,5.1810946E+00,5.3725759E-01
6.7300000E-01,5.1651707E+00,5.3711661E-01
